"","gene_short_name","P0","P4","P7","Ad"
"8030","Epb4.1l4a",3.81988,3.88203,3.399405,1.55912
"8031","Epb4.1l4b",0.81458,1.42003,1.427335,0.737558
"8032","Epb4.1l5",2.636605,1.854575,1.596675,1.36766
"8033","Epb4.2",0.7116975,0.3123915,0.3278785,0.172395
"8034","Epb4.9",0.9890685,0.806894,0.8956215,1.023009
"8035","Epc2",10.8654,10.064465,9.55256,6.3148
"8036","Epcam",0,0,0,0.1070409
"8037","Epdr1",6.960465,6.224395,4.715975,7.765655
"8038","Epgn",0.3496115,0.365764,0.164027,0.0765465
"8039","Epha1",0.2236095,0.231135,0.14456685,0.1890185
"8040","Epha10",0.0758209,0.0196609,0.02810895,0.0080999
"8041","Epha2",2.114945,2.22656,2.199065,1.578875
"8042","Epha3",2.05109,0.8299495,0.3796585,0.05680535
"8043","Epha4",6.944755,4.87445,5.2923,8.849095
"8044","Epha5",0.229596,0.115728,0.09823335,0.02215535
"8045","Epha6",0,0,0,0.013956
"8046","Epha7",12.73532,5.072295,3.735375,1.670335
"8047","Epha8",0.00734173,0.00507855,0,0.004664865
"8048","Ephb1",1.58424,2.19926,1.94485,5.98785
"8049","Ephb2",0.6530215,0.3852815,0.348043,0.07550365
"8050","Ephb3",4.88425,5.293025,4.27643,3.157965
"8051","Ephb4",24.3618,24.6277,23.6236,15.14645
"8052","Ephb6",0.5807445,0.536567,0.4771895,0.2915935
"8053","Ephx1",3.298935,5.30453,5.570425,13.92805
"8054","Ephx2",38.27665,55.86845,58.66375,127.194
"8055","Ephx3",0.07944025,0.238746,0.264112,0.789704
"8056","Ephx4",0.2075655,0.0872623,0.26395685,0
"8057","Epm2a",5.49104,4.496285,6.24454,11.5904
"8058","Epm2aip1",19.03735,19.4378,16.03405,11.3301
"8059","Epn1",48.26915,63.5844,59.43265,65.6947
"8060","Epn2",10.7413,9.19349,9.087355,7.161235
"8061","Epn3",10.047195,14.33565,9.82173,14.67215
"8062","Epor",0.948547,0.823198,0.6889925,0.4985725
"8063","Eprs",26.09845,26.26055,20.8329,20.83845
"8064","Eps15",13.5448,15.3247,15.51825,13.8105
"8065","Eps15l1",13.87265,12.2841,10.17766,9.80435
"8066","Eps8",15.960455,4.315865,4.11028,2.5594
"8067","Eps8l1",0.522769,0.1073725,0.15436975,0.0403567
"8068","Eps8l2",0.2172745,0.93077,0.7684165,1.0843545
"8069","Eps8l3",0,0,0,0
"8070","Epsti1",0.09302655,0.2460365,0.308828,0.3633635
"8071","Ept1",12.13265,11.0395,8.587945,7.001585
"8072","Epx",0,0,0,0
"8073","Epyc",0.02639565,0.0488032,0.1501645,0.0191448
"8074","Eral1",10.092695,9.93229,9.621535,9.638695
"8075","Erap1",5.634915,7.30385,7.113345,10.9909
"8076","Eras",0,0,0,0
"8077","Erbb2",13.1446,8.395545,4.970865,1.964265
"8078","Erbb2ip",24.18685,26.5883,22.3777,14.9071
"8079","Erbb3",2.78582,2.760815,2.51998,2.63464
"8080","Erbb4",8.29005,4.338415,3.661145,2.255565
"8081","Erc1",12.9184,9.14253,8.6815,7.9701
"8082","Erc2",0.6096485,0.354903,0.2903325,0.0522419
"8083","Ercc1",15.4193,13.63005,11.568275,14.02955
"8084","Ercc3",6.48007,7.62524,6.66214,4.74165
"8085","Ercc4",4.48264,3.73246,3.41239,2.57651
"8086","Ercc5",5.793855,6.06078,4.57791,5.068925
"8087","Ercc6",2.644325,2.472335,1.871945,1.021617
"8088","Ercc6l",1.720745,2.405695,1.016502,0.1358645
"8089","Ercc8",3.875035,4.00548,3.160445,2.440755
"8090","Ereg",0.03847935,0.0870364,0.171631,0.09982765
"8091","Erf",17.29355,15.1569,11.47105,7.397785
"8092","Erg",7.99156,11.99065,13.61665,7.31746
"8093","Ergic1",33.42495,29.90515,21.4217,16.9537
"8094","Ergic2",34.8431,36.7519,27.3618,22.4737
"8095","Ergic3",46.326,39.9194,33.8072,30.25515
"8096","Erh",35.04825,43.4027,30.53085,13.5093
"8097","Eri1",6.62696,8.39336,5.34498,3.15832
"8098","Eri2",3.8099,4.742015,2.934655,0.690981
"8099","Eri3",70.52735,31.11815,26.56845,27.8756
"8100","Erich1",3.12043,2.11082,1.856445,1.38463
"8101","Erlec1",19.3244,18.79825,19.6788,20.15015
"8102","Erlin1",2.95854,3.9369,5.70593,3.84547
"8103","Erlin2",12.99595,12.3937,12.1327,7.82061
"8104","Ermap",0.5651535,0.2923705,0.12011985,0.039098
"8105","Ermn",0.0735956,0.025216,0.0358829,0.0076386
"8106","Ermp1",4.21931,4.606365,4.103685,4.062545
"8107","Ern1",2.910505,2.935685,2.637465,2.94203
"8108","Ern2",0,0.00752995,0.0096622,0
"8109","Ero1l",12.15015,11.8187,10.10664,7.19525
"8110","Ero1lb",1.45977,2.04983,1.42337,0.9698055
"8111","Erp27",0.07135975,0,0.19271255,0.09362865
"8112","Erp29",40.8112,44.58845,35.84655,23.31495
"8113","Erp44",21.68835,22.40065,19.69615,19.77535
"8114","Errfi1",6.424955,8.052455,11.027995,12.1664
"8115","Erv3",0.02979545,0.03284615,0.01647535,0.0098111
"8116","Esam",33.2844,43.47085,41.34275,27.49445
"8117","Esco1",7.52955,8.64244,7.61813,6.573165
"8118","Esco2",5.81285,9.02556,4.567155,0.12872685
"8119","Esd",49.6747,45.32205,41.4433,43.81525
"8120","Esf1",7.501645,8.589635,7.556575,6.28051
"8121","Esm1",0.753118,0.6647655,1.025115,0.704556
"8122","Espl1",2.15707,2.83625,1.37427,0.08366575
"8123","Espn",0.4026505,0.4288635,0.4548835,0.729582
"8124","Espnl",0.0796955,0.051952,0.0274379,0.01881465
"8125","Esr1",0.3462435,0.19782,0.12526895,0.172002
"8126","Esr2",0.346127,0.1777335,0.0391746,0.0079844
"8127","Esrp1",0,0,0,0.00675485
"8128","Esrp2",0.506643,0.4514995,0.359371,0.3147195
"8129","Esrra",52.0462,43.36365,39.0431,55.6554
"8130","Esrrb",3.70942,2.61749,1.975835,6.17339
"8131","Esrrg",23.6138,12.84615,11.66675,15.3439
"8132","Esx1",0.02108665,0,0,0
"8133","Esyt1",10.70685,13.5217,10.0012,6.859795
"8134","Esyt2",13.0558,15.46055,13.32,10.063155
"8135","Esyt3",0.172896,0.1135209,0.1075484,0.1264514
"8136","Etaa1",3.407665,3.621125,2.251075,0.863475
"8137","Etd",0,0,0,0
"8138","Etf1",38.76355,43.1025,36.4493,45.2372
"8139","Etfa",262.0335,291.902,303.386,397.0085
"8140","Etfb",268.6055,297.4805,293.9105,471.023
"8141","Etfdh",183.109,187.36,191.084,254.435
"8142","Ethe1",7.977815,8.95751,9.40972,15.40465
"8143","Etl4",14.2684,11.881335,17.78465,13.0998
"8144","Etnk1",20.33915,18.72485,16.38365,13.18685
"8145","Etnk2",0.2503155,0.175971,0.1995555,0.574449
"8146","Etohd2",1.41403,1.5268,1.1010355,2.13966
"8147","Etohi1",5.10389,5.836045,7.51773,7.01215
"8148","Etos1",0.00938718,0.02203655,0.029198,0
"8149","Ets1",41.7143,50.09005,54.097,19.132
"8150","Ets2",39.47495,46.15715,49.7137,30.6539
"8151","Etv1",5.933895,5.010065,4.407775,1.697435
"8152","Etv2",0,0.02345675,0,0
"8153","Etv3",5.74394,6.17214,5.54,5.312815
"8154","Etv4",1.56912,3.268025,1.467484,0.213548
"8155","Etv5",3.439355,3.955015,3.12868,2.48322
"8156","Etv6",14.009125,6.291035,4.84754,4.38306
"8157","EU599041",0,0,0,0
"8158","Evc",3.31094,2.894485,2.86379,1.900695
"8159","Evc2",2.71667,2.49859,1.792225,0.9869905
"8160","Evi5",15.03675,14.26195,11.42905,4.173045
"8161","Evi5l",8.489385,7.265195,6.957205,5.194835
"8162","Evl",23.0071,18.5319,15.4734,4.965645
"8163","Evpl",0.248456,0.13175,0.1205035,0.08239005
"8164","Evx1",0,0,0,0
"8165","Evx2",0,0,0,0
"8166","Ewsr1",141.562,94.67005,82.6398,50.22345
"8167","Exd1",0.2415163,0.0977122,0.0979932,0.3892525
"8168","Exd2",5.12124,4.601595,4.454725,3.979845
"8169","Exo1",1.004433,1.26214,0.566322,0.0217412
"8170","Exoc1",13.35735,12.3811,13.2734,5.60339
"8171","Exoc2",7.247075,7.49413,6.15449,5.30874
"8172","Exoc3",16.76475,18.3458,15.36235,16.07685
"8173","Exoc3l",3.06341,2.808375,2.679405,1.116725
"8174","Exoc3l2",0.459803,0.38539,0.2229319,0.45073
"8175","Exoc4",43.58025,17.6088,14.4547,14.5306
"8176","Exoc5",21.5875,22.01785,20.0037,10.71675
"8177","Exoc6",10.764765,12.19835,10.7856,12.96625
"8178","Exoc6b",27.000695,7.508155,7.317085,4.85645
